Timestamp,Glucose Reading/Event
"Apr 26 2023,  9:14 AM",81
"Apr 26 2023,  9:19 AM",68
"Apr 26 2023,  9:20 AM",66
"Apr 26 2023,  9:21 AM",68
"Apr 26 2023,  9:22 AM",68
"Apr 26 2023,  9:23 AM",67
"Apr 26 2023,  9:24 AM",66
"Apr 26 2023,  9:25 AM",66
"Apr 26 2023,  9:26 AM",66
"Apr 26 2023,  9:27 AM",66
"Apr 26 2023,  9:28 AM",65
"Apr 26 2023,  9:29 AM",67
"Apr 26 2023,  9:30 AM",61
"Apr 26 2023,  9:31 AM",64
"Apr 26 2023,  9:32 AM",68
"Apr 26 2023,  9:33 AM",71
"Apr 26 2023,  9:34 AM",73
"Apr 26 2023,  9:44 AM",64
"Apr 26 2023,  9:59 AM",58
"Apr 26 2023, 10:12 AM",74
"Apr 26 2023, 10:13 AM",71
"Apr 26 2023, 10:14 AM",65
"Apr 26 2023, 10:15 AM",64
"Apr 26 2023, 10:16 AM",64
"Apr 26 2023, 10:17 AM",64
"Apr 26 2023, 10:18 AM",64
"Apr 26 2023, 10:19 AM",65
"Apr 26 2023, 10:20 AM",65
"Apr 26 2023, 10:21 AM",66
"Apr 26 2023, 10:22 AM",65
"Apr 26 2023, 10:23 AM",66
"Apr 26 2023, 10:24 AM",65
"Apr 26 2023, 10:25 AM",65
"Apr 26 2023, 10:26 AM",66
"Apr 26 2023, 10:27 AM",66
"Apr 26 2023, 10:28 AM",76
"Apr 26 2023, 10:29 AM",76
"Apr 26 2023, 10:30 AM",75
"Apr 26 2023, 10:31 AM",77
"Apr 26 2023, 10:32 AM",74
"Apr 26 2023, 10:33 AM",71
"Apr 26 2023, 10:34 AM",66
"Apr 26 2023, 10:35 AM",64
"Apr 26 2023, 10:36 AM",64
"Apr 26 2023, 10:37 AM",64
"Apr 26 2023, 10:38 AM",81
"Apr 26 2023, 10:39 AM",80
"Apr 26 2023, 10:40 AM",79
"Apr 26 2023, 10:41 AM",77
"Apr 26 2023, 10:42 AM",76
"Apr 26 2023, 10:43 AM",76
"Apr 26 2023, 10:44 AM",75
"Apr 26 2023, 10:45 AM",76
"Apr 26 2023, 10:46 AM",81
"Apr 26 2023, 10:47 AM",82
"Apr 26 2023, 10:48 AM",85
"Apr 26 2023, 10:49 AM",88
"Apr 26 2023, 10:50 AM",87
"Apr 26 2023, 10:51 AM",85
"Apr 26 2023, 10:52 AM",83
"Apr 26 2023, 10:53 AM",81
"Apr 26 2023, 10:54 AM",79
"Apr 26 2023, 10:55 AM",78
"Apr 26 2023, 10:56 AM",79
"Apr 26 2023, 10:57 AM",80
"Apr 26 2023, 10:58 AM",82
"Apr 26 2023, 10:59 AM",79
"Apr 26 2023, 11:00 AM",78
"Apr 26 2023, 11:01 AM",83
"Apr 26 2023, 11:02 AM",81
"Apr 26 2023, 11:03 AM",80
"Apr 26 2023, 11:04 AM",80
"Apr 26 2023, 11:05 AM",81
"Apr 26 2023, 11:06 AM",82
"Apr 26 2023, 11:07 AM",85
"Apr 26 2023, 11:08 AM",88
"Apr 26 2023, 11:09 AM",88
"Apr 26 2023, 11:10 AM",87
"Apr 26 2023, 11:11 AM",85
"Apr 26 2023, 11:12 AM",84
"Apr 26 2023, 11:13 AM",83
"Apr 26 2023, 11:14 AM",81
"Apr 26 2023, 11:15 AM",85
"Apr 26 2023, 11:16 AM",86
"Apr 26 2023, 11:17 AM",86
"Apr 26 2023, 11:18 AM",84
"Apr 26 2023, 11:19 AM",81
"Apr 26 2023, 11:20 AM",80
"Apr 26 2023, 11:21 AM",79
"Apr 26 2023, 11:22 AM",79
"Apr 26 2023, 11:23 AM",80
"Apr 26 2023, 11:24 AM",81
"Apr 26 2023, 11:25 AM",82
"Apr 26 2023, 11:26 AM",86
"Apr 26 2023, 11:27 AM",86
"Apr 26 2023, 11:28 AM",84
"Apr 26 2023, 11:29 AM",81
"Apr 26 2023, 11:30 AM",80
"Apr 26 2023, 11:37 AM",84
"Apr 26 2023, 11:38 AM",83
"Apr 26 2023, 11:39 AM",82
"Apr 26 2023, 11:40 AM",84
"Apr 26 2023, 11:41 AM",84
"Apr 26 2023, 11:42 AM",83
"Apr 26 2023, 11:43 AM",82
"Apr 26 2023, 11:44 AM",82
"Apr 26 2023, 11:45 AM",81
"Apr 26 2023, 11:46 AM",81
"Apr 26 2023, 11:47 AM",81
"Apr 26 2023, 11:48 AM",82
"Apr 26 2023, 11:49 AM",83
"Apr 26 2023, 11:50 AM",85
"Apr 26 2023, 11:51 AM",86
"Apr 26 2023, 11:52 AM",85
"Apr 26 2023, 12:00 PM",82
"Apr 26 2023, 12:11 PM",79
"Apr 26 2023, 12:12 PM",81
"Apr 26 2023, 12:13 PM",81
"Apr 26 2023, 12:14 PM",80
"Apr 26 2023, 12:15 PM",77
"Apr 26 2023, 12:16 PM",78
"Apr 26 2023, 12:17 PM",77
"Apr 26 2023, 12:18 PM",76
"Apr 26 2023, 12:19 PM",76
"Apr 26 2023, 12:20 PM",77
"Apr 26 2023, 12:21 PM",76
"Apr 26 2023, 12:22 PM",74
"Apr 26 2023, 12:23 PM",77
"Apr 26 2023, 12:24 PM",79
"Apr 26 2023, 12:25 PM",78
"Apr 26 2023, 12:26 PM",75
"Apr 26 2023, 12:27 PM",78
"Apr 26 2023, 12:28 PM",74
"Apr 26 2023, 12:29 PM",77
"Apr 26 2023, 12:30 PM",84
"Apr 26 2023, 12:35 PM",73
