code,name
galcatec,(-)-Gallocatechin
galcatec_e,
syrgac,Syringic acid
syrgac_e,
sinpac,Sinapinic acid
sinpac_e,
ellgac,Ellagic acid
ellgac_e,
rafs,Raffinose
rafs_e,
stas,Stachyose
stas_e,
vers,Verbascose
vers_e,
ajgs,Ajugose
ajgs_e,
camt,Campesterol
camt_e,
stgstr,Stigmasterol
stgstr_e,
stostrb,β-Sitosterol
stostrb_e,
carot,Carotenes
carot_e,
xantp,Xanthophylls
xantp_e,
cartbeq,β-Carotene equivalents
cartbeq_e,
gi_values,
